Well_Num,region_name,trend_line_slope,trend_line_int,state,category,period,month,time_scale
071,West Coast,-0.0147,6.5497,Stable,Stable or Increasing,Yearly,NA,All
228,West Coast,-1e-4,6.4471,Stable,Stable or Increasing,Yearly,NA,All
316,West Coast,0.0072,1.7229,Stable,Stable or Increasing,Yearly,NA,All
172,Thompson / Okanagan,-0.0089,15.791,Stable,Stable or Increasing,Yearly,NA,All
295,West Coast,-0.1645,14.2754,Increasing,Stable or Increasing,Yearly,NA,All
327,West Coast,-0.2239,12.8689,Increasing,Stable or Increasing,Yearly,NA,All
217,Kootenay / Boundary,-0.0017,3.0485,Stable,Stable or Increasing,Yearly,NA,All
045,Thompson / Okanagan,0.016,8.6974,Stable,Stable or Increasing,Yearly,NA,All
074,Kootenay / Boundary,-0.0915,29.6552,Stable,Stable or Increasing,Yearly,NA,All
058,West Coast,-0.0323,9.4827,Stable,Stable or Increasing,Yearly,NA,All
060,West Coast,-0.0037,9.8793,Stable,Stable or Increasing,Yearly,NA,All
075,Thompson / Okanagan,0.0059,2.2209,Stable,Stable or Increasing,Yearly,NA,All
080,Cariboo,-0.0081,5.0861,Stable,Stable or Increasing,Yearly,NA,All
035,Thompson / Okanagan,0.0034,3.4875,Stable,Stable or Increasing,Yearly,NA,All
081,Cariboo,-0.0639,6.0675,Stable,Stable or Increasing,Yearly,NA,All
125,West Coast,0.0098,0.0942,Stable,Stable or Increasing,Yearly,NA,All
082,Cariboo,-0.035,8.3221,Stable,Stable or Increasing,Yearly,NA,All
084,Omineca,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
088,Cariboo,-0.0824,20.0984,Stable,Stable or Increasing,Yearly,NA,All
233,West Coast,-0.1345,34.821,Stable,Stable or Increasing,Yearly,NA,All
089,Skeena,NA,NA,Too many missing observations to perform trend analysis,N/A,Yearly,NA,All
061,West Coast,-0.0116,7.4685,Stable,Stable or Increasing,Yearly,NA,All
096,Thompson / Okanagan,0.0039,3.8091,Stable,Stable or Increasing,Yearly,NA,All
154,Thompson / Okanagan,0.0289,3.2271,Stable,Stable or Increasing,Yearly,NA,All
152,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
484,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
299,South Coast,-0.013,3.2916,Stable,Stable or Increasing,Yearly,NA,All
115,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
117,Thompson / Okanagan,0.0143,16.1456,Stable,Stable or Increasing,Yearly,NA,All
118,Thompson / Okanagan,0.039,13.4764,Stable,Stable or Increasing,Yearly,NA,All
122,Thompson / Okanagan,0.0074,1.0988,Stable,Stable or Increasing,Yearly,NA,All
015,South Coast,-0.1494,14.6196,Stable,Stable or Increasing,Yearly,NA,All
128,West Coast,-0.0038,1.2321,Stable,Stable or Increasing,Yearly,NA,All
124,Northeast,-0.0041,19.1983,Stable,Stable or Increasing,Yearly,NA,All
326,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
065,West Coast,-0.0086,2.6455,Stable,Stable or Increasing,Yearly,NA,All
008,South Coast,0.0299,17.0054,Stable,Stable or Increasing,Yearly,NA,All
196,West Coast,-0.0043,2.2877,Stable,Stable or Increasing,Yearly,NA,All
002,South Coast,-0.0061,12.7227,Stable,Stable or Increasing,Yearly,NA,All
200,Skeena,NA,NA,Too many missing observations to perform trend analysis,N/A,Yearly,NA,All
201,West Coast,-0.0074,6.6699,Stable,Stable or Increasing,Yearly,NA,All
328,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
265,West Coast,-0.0206,9.2261,Stable,Stable or Increasing,Yearly,NA,All
185,Thompson / Okanagan,0.0161,4.1181,Stable,Stable or Increasing,Yearly,NA,All
240,West Coast,0.0089,5.539,Stable,Stable or Increasing,Yearly,NA,All
232,West Coast,0.02,3.6163,Stable,Stable or Increasing,Yearly,NA,All
180,Thompson / Okanagan,0.0627,6.8025,Stable,Stable or Increasing,Yearly,NA,All
397,West Coast,-0.4532,43.2508,Increasing,Stable or Increasing,Yearly,NA,All
203,Thompson / Okanagan,0.0129,24.5641,Stable,Stable or Increasing,Yearly,NA,All
204,West Coast,0.0121,1.854,Stable,Stable or Increasing,Yearly,NA,All
211,West Coast,0.0315,2.0446,Moderate Rate of Decline,Moderate Rate of Decline,Yearly,NA,All
338,West Coast,-0.034,31.8563,Stable,Stable or Increasing,Yearly,NA,All
446,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
310,West Coast,0.0125,7.8554,Stable,Stable or Increasing,Yearly,NA,All
197,West Coast,0.027,4.8497,Stable,Stable or Increasing,Yearly,NA,All
344,Thompson / Okanagan,0.0139,3.2231,Stable,Stable or Increasing,Yearly,NA,All
346,Thompson / Okanagan,0.0061,1.9591,Stable,Stable or Increasing,Yearly,NA,All
320,West Coast,0.0042,23.7866,Stable,Stable or Increasing,Yearly,NA,All
236,Thompson / Okanagan,0.0727,20.9939,Stable,Stable or Increasing,Yearly,NA,All
255,South Coast,-0.0091,2.8126,Stable,Stable or Increasing,Yearly,NA,All
303,West Coast,0.0513,23.0723,Stable,Stable or Increasing,Yearly,NA,All
